Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
,Tasseled Fez,Helmet,Helmet,Dervish,20,-2,1,,Earth ,4,,,4,Common,1472,Expanse,,,,Unbreakable,Classspecific,,,Earth Tasseled Fez
,Tekuja Sikke,Helmet,Helmet,Dervish,95,-5,4,,Air ,8,,,19,Very Rare,9424,Expanse,,,,Unbreakable,Classspecific,,,Air Tekuja Sikke
,Tekuja Sikke,Helmet,Helmet,Dervish,95,-5,4,,Earth ,8,,,19,Very Rare,9424,Expanse,,,,Unbreakable,Classspecific,,,Earth Tekuja Sikke
,Turban,Helmet,Helmet,Dervish,45,-3,2,,,,,,9,Frequent,2880,Expanse,Imperia,Nordagh,Steppes,Unbreakable,Classspecific,,,Turban
,Veil,Helmet,Helmet,Dervish,40,-3,2,,Water ,6,,,8,Frequent,3328,Expanse,Imperia,,,Unbreakable,Classspecific,,,Water Veil
,Veiled Sikke,Helmet,Helmet,Dervish,85,-5,4,,Water ,12,,,17,Rare,9248,Expanse,Imperia,,,Unbreakable,Classspecific,,,Water Veiled Sikke
,Wool Sikke,Helmet,Helmet,Dervish,80,-5,4,,Air ,4,,,16,Frequent,6144,Expanse,,,,Unbreakable,Classspecific,,,Air Wool Sikke
,Woven Turban,Helmet,Helmet,Dervish,50,-3,2,,Earth ,8,,,10,Frequent,4480,Expanse,Imperia,,,Unbreakable,Classspecific,,,Earth Woven Turban
,Dark Death Mask,Helmet,Helmet,Galdr,35,-3,2,,Dark ,6,,,7,Common,2800,Expanse,,,,Classspecific,,,,Dark Death Mask
,Light Mask of Fertility,Helmet,Helmet,Galdr,40,-3,2,,Light ,8,,,8,Common,3456,Imperia,,,,Classspecific,,,,Light Mask of Fertility
,Mask of Mourning,Helmet,Helmet,Galdr,20,-1,1,,Earth ,6,,,1,Common,416,Nordagh,,,,Classspecific,,,,Earth Mask of Mourning
,Mask of the Boar,Helmet,Helmet,Galdr,50,-3,2,,Earth ,20,,,9,Common,5616,Nordagh,,,,Classspecific,,,,Earth Mask of the Boar
,Mask of the Dragon,Helmet,Helmet,Galdr,50,-3,2,,Fire ,20,,,10,Common,6240,Steppes,,,,Classspecific,,,,Fire Mask of the Dragon
,Mask of the Eagle,Helmet,Helmet,Galdr,50,-3,2,,Air ,20,,,10,Common,6240,Expanse,,,,Classspecific,,,,Air Mask of the Eagle
,Mask of the Tortoise,Helmet,Helmet,Galdr,50,-3,2,,Water ,20,,,10,Common,6240,Imperia,,,,Classspecific,,,,Water Mask of the Tortoise
,Dark Galverg's Helmet,Helmet,Helmet,Galverg,100,-1,1,,Dark ,20,,,1,Unique,640,Nordagh,,,,,,,,Dark Galverg's Helmet
,Boar Cowl,Helmet,Helmet,Gungnir,60,-4,3,,Earth ,20,,,12,Unique,7488,Nordagh,,,,Classspecific,,,,Earth Boar Cowl
,Wolf Cowl,Helmet,Helmet,Gungnir,25,-2,1,,Earth ,14,,,5,Unique,2640,Nordagh,,,,Classspecific,,,,Earth Wolf Cowl
,Bladed Fin,Helmet,Helmet,Minotaur,40,-3,2,,Water ,10,,,7,Infrequent,3472,Imperia,,,,Classspecific,,,,Water Bladed Fin
,Crested Beast's Helm,Helmet,Helmet,Minotaur,60,-3,2,,,,,,9,Infrequent,3024,Imperia,,,,Classspecific,,,,Crested Beast's Helm
,Flaming Skull Cap,Helmet,Helmet,Minotaur,20,-2,1,,Fire ,14,,,3,Common,1584,Steppes,,,,Classspecific,,,,Fire Flaming Skull Cap
,Flowing Chainmail,Helmet,Helmet,Minotaur,25,-2,1,,Air ,10,,,5,Frequent,2400,Expanse,,,,Classspecific,,,,Air Flowing Chainmail
,Iron Spiked Minotaur Helm,Helmet,Helmet,Minotaur,80,-4,3,,Earth ,16,,,12,Rare,7296,Nordagh,,,,Classspecific,,,,Earth Iron Spiked Minotaur Helm
,Copper Campana,Helmet,Helmet,Murmillo,30,-3,2,,,,,,6,Common,1824,Imperia,,,,Classspecific,,,,Copper Campana
,Iron Campana,Helmet,Helmet,Murmillo,50,-3,2,,Earth ,8,,,10,Frequent,4480,Nordagh,,,,Classspecific,,,,Earth Iron Campana
,Jeweled Campana,Helmet,Helmet,Murmillo,70,-4,3,,Air ,10,,,14,Rare,7168,Expanse,,,,Classspecific,,,,Air Jeweled Campana
,Jeweled Campana,Helmet,Helmet,Murmillo,70,-4,3,,Earth ,10,,,14,Rare,7168,Expanse,,,,Classspecific,,,,Earth Jeweled Campana
,Jeweled Campana,Helmet,Helmet,Murmillo,70,-4,3,,Fire ,10,,,14,Rare,7168,Expanse,,,,Classspecific,,,,Fire Jeweled Campana
,Jeweled Campana,Helmet,Helmet,Murmillo,70,-4,3,,Water ,10,,,14,Rare,7168,Expanse,,,,Classspecific,,,,Water Jeweled Campana
,Maritus,Helmet,Helmet,Murmillo,60,-4,3,,Water ,12,,,12,Infrequent,6336,Imperia,,,,Classspecific,,,,Water Maritus
,Mosaic Campana,Helmet,Helmet,Murmillo,20,-2,1,,Water ,6,,,4,Common,1600,Expanse,,,,Classspecific,,,,Water Mosaic Campana
,Polished Campana,Helmet,Helmet,Murmillo,40,-3,2,,,,,,8,Frequent,2560,Imperia,,,,Classspecific,,,,Polished Campana
,Spiked Campana,Helmet,Helmet,Murmillo,80,-5,4,,Air ,8,,,16,Rare,7680,Nordagh,,,,Classspecific,,,,Air Spiked Campana
,Winged Campana,Helmet,Helmet,Murmillo,90,-5,4,,Air ,8,,,18,Very Rare,8928,Steppes,,,,Classspecific,,,,Air Winged Campana
,Dark Gallus Infectus,Helmet,Helmet,Mutuus,100,-1,1,,Dark ,20,,,1,Rare,688,Imperia,,,,Classspecific,,,,Dark Gallus Infectus
,Gallus Helmet,Helmet,Helmet,Mutuus,60,-1,1,,,,,,1,Unique,320,Imperia,,,,Classspecific,,,,Gallus Helmet
,Arrow Thru Head,Helmet,Helmet,Plain,120,-6,5,,,,,,22,Unique,6688,Expanse,Imperia,Nordagh,Steppes,Tracked,Unsellable,Unbreakable,,Arrow Thru Head
,Groucho Nose,Helmet,Helmet,Plain,120,-6,5,,,,,,22,Unique,6688,Expanse,Imperia,Nordagh,Steppes,Tracked,Unsellable,Unbreakable,,Groucho Nose
,Jester,Helmet,Helmet,Plain,0,-6,5,,,,,,22,Unique,6688,Expanse,,,,Tracked,Unsellable,Unbreakable,,Jester
,Circlet of the Gods,Helmet,HelmetA,Diadem,20,-2,1,,Air ,12,,,4,Frequent,2048,Expanse,,,,,,,,Air Circlet of the Gods
,Circlet of the Gods,Helmet,HelmetA,Diadem,20,-2,1,,Earth ,12,,,4,Frequent,2048,Expanse,,,,,,,,Earth Circlet of the Gods
,Circlet of the Gods,Helmet,HelmetA,Diadem,20,-2,1,,Fire ,12,,,4,Frequent,2048,Expanse,,,,,,,,Fire Circlet of the Gods
,Circlet of the Gods,Helmet,HelmetA,Diadem,20,-2,1,,Water ,12,,,4,Frequent,2048,Expanse,,,,,,,,Water Circlet of the Gods
,Diadem,Helmet,HelmetA,Diadem,45,-3,2,,,,,,9,Infrequent,3024,Imperia,,,,,,,,Diadem
,Golden Diadem,Helmet,HelmetA,Diadem,50,-3,2,,,,,,10,Infrequent,3360,Expanse,,,,,,,,Golden Diadem
,Jeweled Circlet,Helmet,HelmetA,Diadem,15,-2,1,,Air ,4,,,3,Frequent,1152,Expanse,,,,,,,,Air Jeweled Circlet
,Jeweled Circlet,Helmet,HelmetA,Diadem,15,-2,1,,Earth ,4,,,3,Frequent,1152,Expanse,,,,,,,,Earth Jeweled Circlet
,Jeweled Circlet,Helmet,HelmetA,Diadem,15,-2,1,,Fire ,4,,,3,Frequent,1152,Expanse,,,,,,,,Fire Jeweled Circlet
,Jeweled Circlet,Helmet,HelmetA,Diadem,15,-2,1,,Water ,4,,,3,Frequent,1152,Expanse,,,,,,,,Water Jeweled Circlet
,Jeweled Diadem,Helmet,HelmetA,Diadem,60,-4,3,,Water ,10,,,12,Rare,6144,Expanse,,,,,,,,Water Jeweled Diadem
,Plated Circlet,Helmet,HelmetA,Diadem,10,-1,1,,Air ,10,,,2,Common,960,Imperia,,,,,,,,Air Plated Circlet
,Plated Circlet,Helmet,HelmetA,Diadem,10,-1,1,,Earth ,10,,,2,Common,960,Imperia,,,,,,,,Earth Plated Circlet
,Plated Circlet,Helmet,HelmetA,Diadem,10,-1,1,,Fire ,10,,,2,Common,960,Imperia,,,,,,,,Fire Plated Circlet
,Plated Circlet,Helmet,HelmetA,Diadem,10,-1,1,,Water ,10,,,2,Common,960,Imperia,,,,,,,,Water Plated Circlet
,Rigid Circlet,Helmet,HelmetA,Diadem,5,-1,1,,Air ,10,,,1,Common,480,Imperia,,,,,,,,Air Rigid Circlet
,Rigid Circlet,Helmet,HelmetA,Diadem,5,-1,1,,Earth ,10,,,1,Common,480,Imperia,,,,,,,,Earth Rigid Circlet
,Rigid Circlet,Helmet,HelmetA,Diadem,5,-1,1,,Fire ,10,,,1,Common,480,Imperia,,,,,,,,Fire Rigid Circlet
,Rigid Circlet,Helmet,HelmetA,Diadem,5,-1,1,,Water ,10,,,1,Common,480,Imperia,,,,,,,,Water Rigid Circlet
,Soul's Diadem,Helmet,HelmetA,Diadem,55,-4,3,,Air ,4,,,11,Rare,4576,Expanse,,,,,,,,Air Soul's Diadem
,Soul's Diadem,Helmet,HelmetA,Diadem,55,-4,3,,Earth ,4,,,11,Rare,4576,Expanse,,,,,,,,Earth Soul's Diadem
,Soul's Diadem,Helmet,HelmetA,Diadem,55,-4,3,,Fire ,4,,,11,Rare,4576,Expanse,,,,,,,,Fire Soul's Diadem
,Soul's Diadem,Helmet,HelmetA,Diadem,55,-4,3,,Water ,4,,,11,Rare,4576,Expanse,,,,,,,,Water Soul's Diadem
,Comptus,Helmet,HelmetB,Arcane,25,-2,1,,Air ,4,,,5,Common,1840,Imperia,,,,,,,,Air Comptus
,Comptus,Helmet,HelmetB,Arcane,25,-2,1,,Earth ,4,,,5,Common,1840,Imperia,,,,,,,,Earth Comptus
,Comptus,Helmet,HelmetB,Arcane,25,-2,1,,Fire ,4,,,5,Common,1840,Imperia,,,,,,,,Fire Comptus
,Comptus,Helmet,HelmetB,Arcane,25,-2,1,,Water ,4,,,5,Common,1840,Imperia,,,,,,,,Water Comptus
,Contubernium,Helmet,HelmetB,Arcane,30,-3,2,,Fire ,6,,,6,Frequent,2496,Imperia,,,,,,,,Fire Contubernium
,Crown of Earth,Helmet,HelmetB,Arcane,100,-5,4,,Earth ,16,,,19,Very Rare,11856,Expanse,,,,,,,,Earth Crown of Earth
,Crown of Fire,Helmet,HelmetB,Arcane,100,-5,4,,Fire ,16,,,19,Very Rare,11856,Expanse,,,,,,,,Fire Crown of Fire
,Crown of Water,Helmet,HelmetB,Arcane,100,-5,4,,Water ,16,,,19,Very Rare,11856,Imperia,,,,,,,,Water Crown of Water
,Golden Headdress,Helmet,HelmetB,Arcane,35,-3,2,,Earth ,8,,,7,Common,3024,Expanse,,,,,,,,Earth Golden Headdress
,Miter,Helmet,HelmetB,Arcane,70,-4,3,,,,,,14,Frequent,4480,Expanse,,,,,,,,Miter
,Sacred Miter,Helmet,HelmetB,Arcane,75,-4,3,,Water ,18,,,15,Infrequent,9360,Expanse,,,,,,,,Water Sacred Miter
,Skeletal Headdress,Helmet,HelmetB,Channeler,100,-5,4,,,,,,20,Unique,6080,Imperia,,,,Classspecific,,,,Skeletal Headdress
,Pharaoh's Miter,Helmet,HelmetB,Summoner,90,-5,4,,Earth ,14,,,18,Unique,9504,Expanse,,,,Classspecific,,,,Earth Pharaoh's Miter
,Stained Fur Hat,Helmet,HelmetC,Archer,80,-5,4,,Air ,14,,,16,Unique,8448,Steppes,,,,Classspecific,,,,Air Stained Fur Hat
,Stained Fur Hat,Helmet,HelmetC,Archer,80,-5,4,,Earth ,14,,,16,Unique,8448,Steppes,,,,Classspecific,,,,Earth Stained Fur Hat
,Stained Fur Hat,Helmet,HelmetC,Archer,80,-5,4,,Fire ,14,,,16,Unique,8448,Steppes,,,,Classspecific,,,,Fire Stained Fur Hat
,Stained Fur Hat,Helmet,HelmetC,Archer,80,-5,4,,Water ,14,,,16,Unique,8448,Steppes,,,,Classspecific,,,,Water Stained Fur Hat
,Clawed Cap,Helmet,HelmetC,Hat,70,-4,3,,Air ,4,,,14,Infrequent,5600,Steppes,,,,,,,,Air Clawed Cap
,Cured Leather Hat,Helmet,HelmetC,Hat,45,-3,2,,Air ,4,,,9,Common,3312,Steppes,,,,,,,,Air Cured Leather Hat
,Dark Band,Helmet,HelmetC,Hat,15,-2,1,,Water ,6,,,3,Common,1200,Nordagh,,,,,,,,Water Dark Band
,Death's Head Skull Cap,Helmet,HelmetC,Hat,20,-2,1,,Air ,6,,,4,Common,1600,Steppes,,,,,,,,Air Death's Head Skull Cap
,Death's Head Skull Cap,Helmet,HelmetC,Hat,20,-2,1,,Earth ,6,,,4,Common,1600,Steppes,,,,,,,,Earth Death's Head Skull Cap
,Death's Head Skull Cap,Helmet,HelmetC,Hat,20,-2,1,,Fire ,6,,,4,Common,1600,Steppes,,,,,,,,Fire Death's Head Skull Cap
,Death's Head Skull Cap,Helmet,HelmetC,Hat,20,-2,1,,Water ,6,,,4,Common,1600,Steppes,,,,,,,,Water Death's Head Skull Cap
,Fur Band,Helmet,HelmetC,Hat,5,-1,1,,Air ,6,,,1,Common,416,Nordagh,,,,,,,,Air Fur Band
,Fur Band,Helmet,HelmetC,Hat,5,-1,1,,Earth ,6,,,1,Common,416,Nordagh,,,,,,,,Earth Fur Band
,Fur Band,Helmet,HelmetC,Hat,5,-1,1,,Fire ,6,,,1,Common,416,Nordagh,,,,,,,,Fire Fur Band
,Fur Band,Helmet,HelmetC,Hat,5,-1,1,,Water ,6,,,1,Common,416,Nordagh,,,,,,,,Water Fur Band
,Fur Hat,Helmet,HelmetC,Hat,25,-2,1,,Air ,4,,,5,Frequent,1920,Nordagh,,,,,,,,Air Fur Hat
,Fur Hat,Helmet,HelmetC,Hat,25,-2,1,,Earth ,4,,,5,Frequent,1920,Nordagh,,,,,,,,Earth Fur Hat
,Fur Hat,Helmet,HelmetC,Hat,25,-2,1,,Fire ,4,,,5,Frequent,1920,Nordagh,,,,,,,,Fire Fur Hat
,Fur Hat,Helmet,HelmetC,Hat,25,-2,1,,Water ,4,,,5,Frequent,1920,Nordagh,,,,,,,,Water Fur Hat
,Horned Band,Helmet,HelmetC,Hat,25,-2,1,,Air ,4,,,5,Frequent,1920,Steppes,,,,,,,,Air Horned Band
,Horned Band,Helmet,HelmetC,Hat,25,-2,1,,Earth ,4,,,5,Frequent,1920,Steppes,,,,,,,,Earth Horned Band
,Horned Band,Helmet,HelmetC,Hat,25,-2,1,,Fire ,4,,,5,Frequent,1920,Steppes,,,,,,,,Fire Horned Band
,Horned Band,Helmet,HelmetC,Hat,25,-2,1,,Water ,4,,,5,Frequent,1920,Steppes,,,,,,,,Water Horned Band
,Leather Cap,Helmet,HelmetC,Hat,65,-4,3,,,,,,13,Frequent,4160,Nordagh,,,,,,,,Leather Cap
,Leather Hat,Helmet,HelmetC,Hat,30,-3,2,,,,,,6,Common,1824,Steppes,,,,,,,,Leather Hat
,Patched Leather Cap,Helmet,HelmetC,Hat,60,-4,3,,,,,,12,Infrequent,4032,Steppes,,,,,,,,Patched Leather Cap
,Plated Band,Helmet,HelmetC,Hat,25,-2,1,,Air ,6,,,5,Frequent,2080,Expanse,,,,,,,,Air Plated Band
,Plated Band,Helmet,HelmetC,Hat,25,-2,1,,Earth ,6,,,5,Frequent,2080,Expanse,,,,,,,,Earth Plated Band
,Plated Band,Helmet,HelmetC,Hat,25,-2,1,,Fire ,6,,,5,Frequent,2080,Expanse,,,,,,,,Fire Plated Band
,Plated Band,Helmet,HelmetC,Hat,25,-2,1,,Water ,6,,,5,Frequent,2080,Expanse,,,,,,,,Water Plated Band
,Ring of Fangs,Helmet,HelmetC,Hat,35,-3,2,,Earth ,6,,,7,Infrequent,3024,Nordagh,,,,,,,,Earth Ring of Fangs
,Silk Cap,Helmet,HelmetC,Hat,50,-3,2,,Air ,6,,,10,Infrequent,4320,Steppes,,,,,,,,Air Silk Cap
,Silk Cap,Helmet,HelmetC,Hat,50,-3,2,,Earth ,6,,,10,Infrequent,4320,Steppes,,,,,,,,Earth Silk Cap
,Silk Cap,Helmet,HelmetC,Hat,50,-3,2,,Fire ,6,,,10,Infrequent,4320,Steppes,,,,,,,,Fire Silk Cap
,Silk Cap,Helmet,HelmetC,Hat,50,-3,2,,Water ,6,,,10,Infrequent,4320,Steppes,,,,,,,,Water Silk Cap
,Steel Cap,Helmet,HelmetC,Hat,75,-4,3,,,,,,15,Rare,5280,Nordagh,,,,,,,,Steel Cap
,Warrior's Band,Helmet,HelmetC,Hat,10,-1,1,,Earth ,8,,,2,Common,896,Steppes,,,,,,,,Earth Warrior's Band
,Wing Hat,Helmet,HelmetC,Hat,30,-3,2,,Air ,10,,,6,Infrequent,2976,Steppes,,,,,,,,Air Wing Hat
,Wing Hat,Helmet,HelmetC,Hat,30,-3,2,,Earth ,10,,,6,Infrequent,2976,Steppes,,,,,,,,Earth Wing Hat
,Wing Hat,Helmet,HelmetC,Hat,30,-3,2,,Fire ,10,,,6,Infrequent,2976,Steppes,,,,,,,,Fire Wing Hat
,Wing Hat,Helmet,HelmetC,Hat,30,-3,2,,Water ,10,,,6,Infrequent,2976,Steppes,,,,,,,,Water Wing Hat
,Wood Armored Hat,Helmet,HelmetC,Hat,40,-3,2,,Earth ,10,,,8,Infrequent,3968,Nordagh,,,,,,,,Earth Wood Armored Hat
,Rhinoceros Spangenhelm,Helmet,HelmetD,Barbarian,100,-5,4,,,,,,20,Unique,6080,Nordagh,,,,Classspecific,,,,Rhinoceros Spangenhelm
,Bronze Horned Helm,Helmet,HelmetD,Helm,95,-5,4,,,,,,19,Infrequent,6384,Nordagh,,,,,,,,Bronze Horned Helm
,Confortari,Helmet,HelmetD,Helm,45,-3,2,,Air ,4,,,9,Common,3312,Nordagh,,,,,,,,Air Confortari
,Confortari,Helmet,HelmetD,Helm,45,-3,2,,Earth ,4,,,9,Common,3312,Nordagh,,,,,,,,Earth Confortari
,Confortari,Helmet,HelmetD,Helm,45,-3,2,,Fire ,4,,,9,Common,3312,Nordagh,,,,,,,,Fire Confortari
,Confortari,Helmet,HelmetD,Helm,45,-3,2,,Water ,4,,,9,Common,3312,Nordagh,,,,,,,,Water Confortari
,Consenesco,Helmet,HelmetD,Helm,55,-4,3,,,,,,11,Common,3344,Imperia,,,,,,,,Consenesco
,Heavy Helm,Helmet,HelmetD,Helm,95,-5,4,,Air ,6,,,19,Infrequent,8208,Nordagh,,,,,,,,Air Heavy Helm
,Heavy Helm,Helmet,HelmetD,Helm,95,-5,4,,Earth ,6,,,19,Infrequent,8208,Nordagh,,,,,,,,Earth Heavy Helm
,Heavy Helm,Helmet,HelmetD,Helm,95,-5,4,,Fire ,6,,,19,Infrequent,8208,Nordagh,,,,,,,,Fire Heavy Helm
,Heavy Helm,Helmet,HelmetD,Helm,95,-5,4,,Water ,6,,,19,Infrequent,8208,Nordagh,,,,,,,,Water Heavy Helm
,Hooked Ridge Helmet,Helmet,HelmetD,Helm,55,-4,3,,Air ,10,,,11,Infrequent,5456,Expanse,,,,,,,,Air Hooked Ridge Helmet
,Hooked Ridge Helmet,Helmet,HelmetD,Helm,55,-4,3,,Earth ,10,,,11,Infrequent,5456,Expanse,,,,,,,,Earth Hooked Ridge Helmet
,Hooked Ridge Helmet,Helmet,HelmetD,Helm,55,-4,3,,Fire ,10,,,11,Infrequent,5456,Expanse,,,,,,,,Fire Hooked Ridge Helmet
,Hooked Ridge Helmet,Helmet,HelmetD,Helm,55,-4,3,,Water ,10,,,11,Infrequent,5456,Expanse,,,,,,,,Water Hooked Ridge Helmet
,Iron Helm,Helmet,HelmetD,Helm,90,-5,4,,Air ,4,,,18,Frequent,6912,Nordagh,,,,,,,,Air Iron Helm
,Iron Helm,Helmet,HelmetD,Helm,90,-5,4,,Earth ,4,,,18,Frequent,6912,Nordagh,,,,,,,,Earth Iron Helm
,Iron Helm,Helmet,HelmetD,Helm,90,-5,4,,Fire ,4,,,18,Frequent,6912,Nordagh,,,,,,,,Fire Iron Helm
,Iron Helm,Helmet,HelmetD,Helm,90,-5,4,,Water ,4,,,18,Frequent,6912,Nordagh,,,,,,,,Water Iron Helm
,Iron Horned Helm,Helmet,HelmetD,Helm,95,-5,4,,,,,,19,Rare,6688,Nordagh,,,,,,,,Iron Horned Helm
,Pointed Helm,Helmet,HelmetD,Helm,90,-5,4,,Air ,10,,,18,Frequent,8640,Nordagh,,,,,,,,Air Pointed Helm
,Pointed Helm,Helmet,HelmetD,Helm,90,-5,4,,Earth ,10,,,18,Frequent,8640,Nordagh,,,,,,,,Earth Pointed Helm
,Pointed Helm,Helmet,HelmetD,Helm,90,-5,4,,Fire ,10,,,18,Frequent,8640,Nordagh,,,,,,,,Fire Pointed Helm
,Pointed Helm,Helmet,HelmetD,Helm,90,-5,4,,Water ,10,,,18,Frequent,8640,Nordagh,,,,,,,,Water Pointed Helm
,Ridged Fortis,Helmet,HelmetD,Helm,55,-4,3,,,,,,11,Frequent,3520,Imperia,,,,,,,,Ridged Fortis
,Shielded Ridge Helmet,Helmet,HelmetD,Helm,15,-2,1,,,,,,3,Frequent,960,Nordagh,,,,,,,,Shielded Ridge Helmet
,Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,,,,,20,Rare,7040,Nordagh,,,,,,,,Spangenhelm
,Bladed Gallic Helmet,Helmet,HelmetE,Centurion,100,-5,4,,,,,,19,Unique,5776,Imperia,,,,Classspecific,,,,Bladed Gallic Helmet
,Closed Gallic Helmet,Helmet,HelmetE,Centurion,100,-5,4,,Air ,18,,,19,Unique,11248,Imperia,,,,Classspecific,,,,Air Closed Gallic Helmet
,Closed Gallic Helmet,Helmet,HelmetE,Centurion,100,-5,4,,Earth ,18,,,19,Unique,11248,Imperia,,,,Classspecific,,,,Earth Closed Gallic Helmet
,Closed Gallic Helmet,Helmet,HelmetE,Centurion,100,-5,4,,Fire ,18,,,19,Unique,11248,Imperia,,,,Classspecific,,,,Fire Closed Gallic Helmet
,Closed Gallic Helmet,Helmet,HelmetE,Centurion,100,-5,4,,Water ,18,,,19,Unique,11248,Imperia,,,,Classspecific,,,,Water Closed Gallic Helmet
,Dark Dark Cowl,Helmet,HelmetE,DarkLegion,90,-5,4,,Dark ,18,,,1,Unique,592,Imperia,,,,Classspecific,,,,Dark Dark Cowl
,Mask of Argos,Helmet,HelmetE,Legionnaire,85,-5,4,,Air ,16,,,17,Unique,9520,Imperia,,,,Classspecific,,,,Air Mask of Argos
,Mask of Argos,Helmet,HelmetE,Legionnaire,85,-5,4,,Earth ,16,,,17,Unique,9520,Imperia,,,,Classspecific,,,,Earth Mask of Argos
,Mask of Argos,Helmet,HelmetE,Legionnaire,85,-5,4,,Fire ,16,,,17,Unique,9520,Imperia,,,,Classspecific,,,,Fire Mask of Argos
,Mask of Argos,Helmet,HelmetE,Legionnaire,85,-5,4,,Water ,16,,,17,Unique,9520,Imperia,,,,Classspecific,,,,Water Mask of Argos
,Soldier's Helmet,Helmet,HelmetE,Legionnaire,60,-4,3,,,,,,12,Unique,3648,Imperia,,,,Classspecific,,,,Soldier's Helmet
,Attic Cuspis,Helmet,HelmetE,Military,60,-4,3,,Air ,6,,,12,Common,4800,Steppes,,,,,,,,Air Attic Cuspis
,Attic Cuspis,Helmet,HelmetE,Military,60,-4,3,,Earth ,6,,,12,Common,4800,Steppes,,,,,,,,Earth Attic Cuspis
,Attic Cuspis,Helmet,HelmetE,Military,60,-4,3,,Fire ,6,,,12,Common,4800,Steppes,,,,,,,,Fire Attic Cuspis
,Attic Cuspis,Helmet,HelmetE,Military,60,-4,3,,Water ,6,,,12,Common,4800,Steppes,,,,,,,,Water Attic Cuspis
,Attic Durus,Helmet,HelmetE,Military,25,-2,1,,Earth ,4,,,5,Common,1840,Nordagh,,,,,,,,Earth Attic Durus
,Brass Coolus,Helmet,HelmetE,Military,30,-3,2,,Air ,4,,,6,Common,2208,Imperia,,,,,,,,Air Brass Coolus
,Bronze Italic,Helmet,HelmetE,Military,50,-3,2,,Air ,4,,,10,Infrequent,4000,Imperia,,,,,,,,Air Bronze Italic
,Bronze Italic,Helmet,HelmetE,Military,50,-3,2,,Earth ,4,,,10,Infrequent,4000,Imperia,,,,,,,,Earth Bronze Italic
,Bronze Italic,Helmet,HelmetE,Military,50,-3,2,,Fire ,4,,,10,Infrequent,4000,Imperia,,,,,,,,Fire Bronze Italic
,Bronze Italic,Helmet,HelmetE,Military,50,-3,2,,Water ,4,,,10,Infrequent,4000,Imperia,,,,,,,,Water Bronze Italic
,Corinthian Helmet,Helmet,HelmetE,Military,80,-5,4,,Fire ,4,,,16,Rare,6656,Imperia,,,,,,,,Fire Corinthian Helmet
,Crested Coolus,Helmet,HelmetE,Military,35,-3,2,,Air ,4,,,7,Frequent,2688,Imperia,,,,,,,,Air Crested Coolus
,Crested Corinthian,Helmet,HelmetE,Military,85,-5,4,,Air ,4,,,17,Rare,7072,Imperia,,,,,,,,Air Crested Corinthian
,Crested Italic,Helmet,HelmetE,Military,50,-3,2,,,,,,10,Rare,3520,Imperia,,,,,,,,Crested Italic
,Crested Ornate Gallic,Helmet,HelmetE,Military,90,-5,4,,Air ,6,,,18,Infrequent,7776,Expanse,,,,,,,,Air Crested Ornate Gallic
,Crested Ornate Gallic,Helmet,HelmetE,Military,90,-5,4,,Earth ,6,,,18,Infrequent,7776,Expanse,,,,,,,,Earth Crested Ornate Gallic
,Crested Ornate Gallic,Helmet,HelmetE,Military,90,-5,4,,Fire ,6,,,18,Infrequent,7776,Expanse,,,,,,,,Fire Crested Ornate Gallic
,Crested Ornate Gallic,Helmet,HelmetE,Military,90,-5,4,,Water ,6,,,18,Infrequent,7776,Expanse,,,,,,,,Water Crested Ornate Gallic
,Dual Crested Corinthian,Helmet,HelmetE,Military,85,-5,4,,Air ,8,,,17,Very Rare,8432,Steppes,,,,,,,,Air Dual Crested Corinthian
,Dual Crested Corinthian,Helmet,HelmetE,Military,85,-5,4,,Earth ,8,,,17,Very Rare,8432,Steppes,,,,,,,,Earth Dual Crested Corinthian
,Dual Crested Corinthian,Helmet,HelmetE,Military,85,-5,4,,Fire ,8,,,17,Very Rare,8432,Steppes,,,,,,,,Fire Dual Crested Corinthian
,Dual Crested Corinthian,Helmet,HelmetE,Military,85,-5,4,,Water ,8,,,17,Very Rare,8432,Steppes,,,,,,,,Water Dual Crested Corinthian
,Frons Coolus,Helmet,HelmetE,Military,30,-3,2,,Air ,6,,,6,Frequent,2496,Expanse,,,,,,,,Air Frons Coolus
,Frons Coolus,Helmet,HelmetE,Military,30,-3,2,,Earth ,6,,,6,Frequent,2496,Expanse,,,,,,,,Earth Frons Coolus
,Frons Coolus,Helmet,HelmetE,Military,30,-3,2,,Fire ,6,,,6,Frequent,2496,Expanse,,,,,,,,Fire Frons Coolus
,Frons Coolus,Helmet,HelmetE,Military,30,-3,2,,Water ,6,,,6,Frequent,2496,Expanse,,,,,,,,Water Frons Coolus
,Gallic Aquincum,Helmet,HelmetE,Military,90,-5,4,,Air ,6,,,18,Rare,8064,Expanse,,,,,,,,Air Gallic Aquincum
,Gallic Aquincum,Helmet,HelmetE,Military,90,-5,4,,Earth ,6,,,18,Rare,8064,Expanse,,,,,,,,Earth Gallic Aquincum
,Gallic Aquincum,Helmet,HelmetE,Military,90,-5,4,,Fire ,6,,,18,Rare,8064,Expanse,,,,,,,,Fire Gallic Aquincum
