//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"K'ktk'te","Scorpion","","StatSet0","ItemSetEF","SkillSetAffF","Zhigazoo"
"Kloe","ChannelerImp","2#Imperia_14","StatSet5","ItemSetIE","SkillSetAffE","ImperiaPirgosChannelers"
"Klowkuh","Ogre","2#","StatSet0","ItemSetIF","SkillSetComb","ImperiaMawMongrelBand"
"Kmnnstwy","Scarab","","StatSet0","ItemSetEF","SkillSetAffF","Zhigazoo"
"Knockback Statue A","PropStatue","","statue","","prop_knockback","Dynamic Statues"
"Knockback Statue B","PropStatue","","statue","","prop_knockback","Dynamic Statues"
"Knockback Statue C","PropStatue","","statue","","prop_knockback","Dynamic Statues"
"Knockback Statue D","PropStatue","","statue","","prop_knockback","Dynamic Statues"
"Knurig","MongrelShaman","0#Nordagh_17","StatSet0","ItemSetEF","SkillSetAffF","Mikara Jackals"
"Koke","Archer","2#School_RedPurple4","statset0","ItemSetSU","SkillSetComb","School of Xandus"
"Kontar","BanditB","2#","StatSet0","ItemSetSU","SkillSetComb","Bhilly Bandits"
"Koovy","Satyr","2#Satyr1","StatSet0","ItemSetIW","SkillSetComb","Shepards of Sloan"
"Koreen","DervishF","4#","StatSet0","ItemSetIA","SkillSetAffA","ImperiaTrikataTribunal"
"Koryna","SamniteImpF","2#School_TurqRed2","StatSet0","ItemSetEF","SkillSetAffF","ImperiaTrikataPergaGiants"
"Kouang","SecutorSteF","2#School_YellowBlue4","statset0","ItemSetSF","SkillSetAffF","Borte Hulagu"
"Kozma","Cyclops","","StatSet0","ItemSetEU","SkillSetComb","NoSchool"
"Krin","Barbarian","2#Nordagh_07","statset0","ItemSetNF","skillsetcomb","Sloan Defense Brigade"
"Krinkles","Satyr","0#Satyr1","StatSet0","ItemSetIW","SkillSetAffW","ImperiaSyrnaPropSchool"
"Krinoc","Galdr","1#Nordagh_02","StatSet0","ItemSetNW","SkillSetAffW","Vhyn Vagrants"
"Krish","Wolf","","StatSet0","ItemSetSE","SkillSetAffE","Borte Hulagu"
"Kro Chack","MongrelShaman","4#Nordagh_03","statset0","itemsetNF","skillsetaffF",""
"Kro Chak","Mongrel","3#School_YellowGreen4","StatSet0","ItemSetIE","SkillSetAffE","Rywigo Arrowheads"
"Kroisos","Legionnaire","","StatSet0","ItemSetIW","SkillSetAffW","Flabios Avengers"
"Krtraksta","Scorpion","","StatSet0","ItemSetEF","SkillSetAffF","NoSchool"
"Krumpe","CitizenExp","0#qstKrumpe","StatSet4","ItemSetEU","qstKrumpe",""
"Kryspin","Murmillo","0#Imperia_18","statset0","itemsetIW","skillsetcomb","ImperiaSchool"
"Ksykk","Scarab","4#","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Kthyopia","DervishF","3#Expanse_09","StatSet0","ItemSetEE","SkillSetAffE","The Underclass of Akar An"
"Kucheka","DervishF","3#","StatSet0","ItemSetSF","SkillSetAffF","ImperiaMawLocalRecruits"
"Kuja","Bear","","StatSet0","ItemSetNE","SkillSetAffE","School of Past Glory"
"Kutula","Cat","4#","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesTiger"
"Kuzhuk","ArcherF","2#School_RedPurple4","statset0","ItemSetSA","SkillSetAffA","School of Xandus"
"Kweilin","BanditAF","2#","StatSet0","ItemSetNA","SkillSetComb","NoSchool"
"Kyle","Gungnir","2#Nordagh_04","statset0","ItemsetNF","skillsetaffF","Fliuch Home Guard"
"Kylin","BarbarianF","1#Nordagh_03","statset0","ItemSetIA","SkillSetAffA","NoSchool"
"Kyrul","BanditA","1#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaOrusTribunal"
"Laban","Berserker","1#berserker11","statset0","ItemSetNW","skillsetcomb","NoSchool"
"Labhras","Berserker","2#berserker06","statset0","ItemSetNA","skillsetaffA","The Harbingers"
"Lachaidh","UndeadMeleeNorB","0#Nordagh_07","statset0","ItemsetND","skillsetcomb","Death after Death"
"Lachko","UndeadMeleeImpA","","StatSet3","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Lachlainn","Gungnir","3#School_BlueWhite2","statset0","ItemsetNA","skillsetaffA","Children of Mjolnir"
"Ladislaus","Murmillo","0#Imperia_03","StatSet0","ItemSetIE","SkillSetComb","ImperiaTrikataLocalRecruit"
"Laedior","BanditA","2#","StatSet3","ItemSetIF","SkillSetComb","WildernessImperiaOutlaw"
"Laertes","Satyr","4#Satyr1","statset0","itemsetNA","skillsetaffA",""
"Lagos","DarkWolf","","StatSet3","ItemSetIU","SkillSetComb","WildernessExpanseDark"
"Laina","CenturionF","","StatSet0","ItemSetIW","SkillSetAffW","ImperiaSyrnaLocalRecruits"
"Laise","Gungnir","1#Nordagh_05","statset0","ItemsetNF","skillsetcomb","Fliuch Home Guard"
"Lakhaan","Mongrel","2#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaMawMongrelBand"
"Lamont","Gungnir","0#Nordagh_04","StatSet0","ItemSetNE","SkillSetAffE",""
"Lampolo","Centurion","3#Imperia_07","StatSet0","ItemSetIF","SkillSetComb","ImperiaPirgosLocalRecruits"
"Lampos","Legionnaire","2#Imperia_03","StatSet0","ItemSetIF","SkillSetAffF","School of Past Glory"
"Langiloa","Summoner","3#qstHellGateWater","StatSet1","itemsetHGWater","SummonerHGWater","qstHellGateSchoolWater"
"Langston","Minotaur","0#Minotaur3","StatSet4","ItemSetEU","SkillSetComb","The Invaders"
"Laoiseach","Yeti","2#Yeti5","StatSet0","ItemSetNW","SkillSetAffW","School of past Glory"
"Laomedea","CenturionF","","StatSet1","ItemSetIW","SkillSetAffW","Imperia Ringers"
"Laphria","PeltastF","4#Imperia_10","statset0","ItemSetIF","skillsetcomb","ImperiaPirgosMunio"
"Larch","PropBarrel","","StatSet0","","prop_BarrelNorm","ImperiaSyrnaPropSchool"
"Lasos","Legionnaire","1#School_BlackBlue2","StatSet5","ItemSetIW","SkillSetComb","ImperiaPirgosBrutes"
"Lasthenes","BanditB","3#","StatSet0","ItemSetEW","SkillSetAffW","ImperiaCroPrisoners"
"Laughs","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Laurentius","Centurion","4#School_BlackBlue3","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Laysa","ArcherF","2#","StatSet2","ItemSetOnslaught","SkillSetAffF","ImperiaOrusOnslaught"
"Lazarus","UndeadMeleeNorB","","StatSet0","ItemSetND","SkillSetAffD","The Unliving"
"Lea","Galdr","3#Nordagh_05","statset0","ItemsetNW","skillsetaffW","The Harbingers"
"Leda","centurionF","1#School_BlueWhite2","statset0","ItemSetIW","skillsetcomb","BelfortMilitary"
"Ledamed","MurmilloF","4#School_YellowGreen4","StatSet0","ItemSetIF","SkillSetAffF","Rywigo Arrowheads"
"Leentje","MurmilloF","3#","StatSet0","ItemSetIW","SkillSetAffW","ImperiaTrikataLocalRecruit"
"Leitos","BanditA","1#","StatSet3","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Lennardus","Wolf","1#","statset0","itemsetNE","skillsetcomb","BelfortBeast"
"Lennor","BanditA","0#","StatSet0","ItemSetIW","SkillSetAffW","ImperiaOrusTribunal"
"Lennori","Murmillo","1#Imperia_11","statset0","itemsetIW","skillsetcomb","ImperiaSchool"
"Lennox","Barbarian","0#Nordagh_16","statset0","ItemSetNA","skillsetaffA","Sloan Defense Brigade"
"Leucas","BanditA","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Leukos","Cyclops","","StatSet0","ItemSetEE","SkillSetAffE","Story Characters"
"Leusa","MurmilloF","3#School_BlackRed1","StatSet5","ItemsetNW","skillsetaffW","Shadow of the Empire"
"Leuthoo","DarkLegionnaire","0#School_YellowGreen4","StatSet0","ItemSetSD","SkillSetAffD","Rywigo Arrowheads"
"Liaka","Wolf","2#","statset0","ItemSetNE","SkillSetAffE","ImperiaMawLocalRecruits"
"Lika","Wolf","2#","statset0","ItemsetNE","skillsetcomb","The Sylvan Ones"
"Lileas","BanditBF","1#","StatSet0","ItemSetIF","SkillSetComb","Black Band of Seven"
"Lili","LegionnaireF","0#School_BlackOrange1","StatSet5","ItemSetIW","SkillSetAffW","Altheas Vipers"
"Limu","Summoner","1#qstHellGateEarth","StatSet1","itemsetHGEarth","SummonerHGEarth","qstHellGateSchoolEarth"
"Lino","DarkCat","1#","StatSet0","ItemSetID","SkillSetComb","WildernessExpanseDark"
"Liosaidh","Galdr","2#School_BlackBlack4","StatSet0","ItemSetSA","SkillSetAffA","Riot Gyhrls"
"Loghlun","Mongrel","1#Nordagh_03","StatSet0","ItemSetIF","SkillSetAffF","ImperiaMawMongrelBand"
"Lono","Wolf","1#","statset0","ItemsetNE","skillsetaffE","The Sylvan Ones"
"Lorync","SecutorImp","0#","StatSet5","ItemSetIF","SkillSetAffF","ImperiaOrusOrcusDomini"
"Lossren","Yeti","2#Yeti4","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Lourkina","LegionnaireF","3#","StatSet5","ItemSetIW","SkillSetAffW","ImperiaChampionship"
"Lowry","Gungnir","2#Nordagh_03","statset0","itemsetNF","skillsetaffF",""
"Luag","WolfGreater","3#","statset0","ItemsetNE","SkillSetAffE","The Pack"
"Lucia","Wolf","4#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Ludo","Ludo","0#","StatSet0","ItemSetIA","SkillSetComb","Story Characters"
"Ludo_Dark","LudoDark","","StatSet5","ludoDARK","SkillSetCustomAffD","NoSchool"
"Ludo_weak","Ludo","1#","StatSetW","ludoweak","SkillSetAffF",""
"LudoUber","Ludo","0#","StatSetW","itemsetIW","skillsetcomb","NoSchool"
"Lugotorix","BanditA","3#","statset0","ItemSetIA","skillsetcomb","ImperiaSchool"
"Luke","Satyr","1#Satyr1","StatSet0","ItemSetSE","SkillSetComb","Shepards of Sloan"
"Luna","Wolf","0#","StatSet0","ItemSetNE","SkillSetAffE",""
"Lurync","Peltast","2#","StatSet3","ItemSetIF","SkillSetAffF","ImperiaOrusOnslaught"
"Lusa","Cat","","StatSet0","ItemSetEA","SkillSetAffA","Zhigazoo"
"Luzige","Dervish","","StatSet0","ItemSetEW","SkillSetAffW","NoSchool"
"Lycomedes","PeltastF","1#School_YellowBlue4","StatSet0","ItemSetIA","SkillSetAffA","Borte Hulagu"
"Lysis","Satyr","2#Satyr1","StatSet0","ItemSetIW","SkillSetAffW","school of past Glory"
"Maalana","BanditAF","4#","StatSet1","ItemSetEE","SkillSetAffE","WildernessExpanseOutlaw"
"Mac","Satyr","4#Satyr1","StatSet0","ItemSetEA","SkillSetAffA","Shepards of Sloan"
"Macarius","CitizenImp","5#","StatSet4","ItemSetIF","SkillSetComb","ImperiaTrikataTribunal"
"Madair","Dervish","3#","StatSet2","ItemSetSE","SkillSetAffE","ImperiaMawLocalRecruits"
"Madidu","SecutorSte","3#","StatSet0","ItemSetIA","SkillSetAffA","ImperiaOrusOnslaught"
"Madlen","LegionnaireF","","StatSet0","ItemSetIA","SkillSetAffA","ImperiaSyrnaLocalRecruits"
"Madrake","Wolf","3#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Maea","BanditAF","3#","StatSet1","ItemSetIF","SkillSetAffF","WildernessImperiaOutlaw"
"Maela","BanditAF","1#","statset0","ItemSetIF","SkillSetAffF","NoSchool"
"Maesa","BanditAF","4#","StatSet1","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Maeve","Galdr","2#Nordagh_03","statset0","ItemsetNE","skillsetcomb","The Harbingers"
"Mafi","Summoner","2#qstHellGateAir","StatSet1","itemsetHGAir","SummonerHGAir","qstHellGateSchoolAir"
"Maglorius","Centurion","1#School_BlackBlue2","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Magnai","SecutorSte","1#Steppes_20","statset0","ItemSetSF","SkillSetAffF","Poachers"
"Magog","Wolf","1#","statset0","ItemsetNE","skillsetaffE","Sloan Defense Brigade"
"Magsa","Amazon","4#School_BlackBlack3","statset0","ItemSetSF","SkillSetAffF","Riot Gyhrls"
"Magsen","BanditB","3#","StatSet1","ItemSetIE","SkillSetAffE","ImperiaOrusOnslaught"
"Mahon","Berserker","1#berserker08","Statset0","ItemSetNF","skillsetcomb","High Krigare School"
"Maia","LegionnaireF","3#School_BlackYellow1","StatSet1","ItemSetIE","SkillSetAffE","Femina Formosos"
"Maidar","SamniteExpF","1#Expanse_04","statset0","ItemSetEW","SkillSetAffW","Mikara Jackals"
"Maihrea","BerserkerF","3#berserker11","StatSet0","ItemSetSU","SkillSetComb","Baneful Berserkers"
"Maillie","ChannelerImp","5#","StatSet0","ItemSetSE","SkillSetAffE","ImperiaTrikataLocalRecruit"
"Maireag","BerserkerF","4#berserker09","statset0","ItemSetNF","skillsetcomb","The Harbingers"
"Maitiu","Berserker","2#berserker12","StatSet0","ItemSetSW","SkillSetComb","Black Band of Seven"
"Makis","Cyclops","","StatSet0","ItemSetSA","SkillSetAffA","Krakens"
"Maksym","SecutorImp","1#Imperia_06","StatSet0","ItemSetIF","SkillSetAffF","ImperiaOrusOrcusDomini"
"Malakee","Berserker","3#School_YellowGreen4","StatSet0","ItemSetNE","SkillSetAffE","Rywigo Arrowheads"
"Malama","SamniteExpF","2#School_TurqRed3","StatSet0","ItemSetIW","SkillSetAffW","ImperiaTrikataPergaGiants"
"Malem","centurion","3#School_BlueWhite3","statset0","ItemSetIW","skillsetcomb","BelfortMilitary"
"Malia","BerserkerF","0#berserker13","statset0","ItemSetIW","SkillSetAffW","NoSchool"
"Malise","BerserkerF","1#berserker04","statset0","ItemSetNA","skillsetaffA","Uvanlig's Motley"
"Mamay","Centurion","1#Imperia_07","statset0","ItemSetIW","skillsetcomb","Krakens"
"Mamkhe","BanditB","","StatSet0","ItemSetSF","SkillSetAffF","Bhilly Bandits"
"Mandar","Wolf","2#","statset0","ItemSetNE","skillsetcomb",""
"Mandisa","DervishF","3#","StatSet1","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Manetho","UndeadCasterA","","StatSet0","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Mangit","Cat","","StatSet0","ItemSetSA","SkillSetAffA","Krakens"
"Mangqut","Cat","4#","StatSet0","ItemSetSA","SkillSetAffA","WildernessSteppesTiger"
"Mangu","Wolf","2#","statset0","ItemSetSE","SkillSetAffE","Eyes of the Beast"
"Manthai","DarkLegionnaire","","StatSet0","ItemSetID","SkillSetAffD","Story Characters"
"Manto","Bear","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Maolsneachta","UndeadMeleeNorA","0#Nordagh_10","statset0","ItemsetND","skillsetcomb","Death after Death"
"Mapel","PropBarrel","","StatSet0","ItemSetEA","prop_BarrelNorm","ImperiaCroPrisoners"
"Marael","ArcherF","3#","StatSet0","ItemSetSW","SkillSetAffW","WildernessSteppesOutlaw"
"Marcella","BarbarianF","","StatSet0","ItemSetNE","SkillSetAffE","Nordagh Ringers"
"Marcomir","BanditB","2#","StatSet0","ItemSetSA","SkillSetAffA","ImperiaOrusTribunal"
"Marcus","Wolf","1#","StatSet0","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Mare","Galdr","","StatSet0","ItemSetNW","SkillSetAffW","Story Characters"
"Margorey","CenturionF","","StatSet0","ItemSetIE","SkillSetAffE","Flabios Avengers"
"Marina","Legionnaire","1#Imperia_03","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosMunio"
"Maritimus","BeastWaterGreater","","StatSet0","ItemSetEW","skillsetgreaterwater","Story Characters"
"Marleau","BanditA","2#","statset0","itemsetNE","SkillSetComb","WildernessNordaghOutlaw"
"Martainn","Gungnir","1#Nordagh_09","StatSet0","ItemSetNF","SkillSetComb","Black Band of Seven"
"Martyne","BanditAF","2#","StatSet0","ItemSetIW","SkillSetComb","ImperiaTribunal"
"Marx","Wolf","2#","StatSet5","ItemSetIE","SkillSetAffE","ImperiaBelfortLycanthropes"
"Maslorius","Murmillo","2#","StatSet1","ItemSetIW","SkillSetAffW","ImperiaPirgosMunio"
"Masreya","Summoner","0#School_PurpleYellow1","StatSet0","ItemSetEW","SkillSetAffW","Spellcasters"
"Matafeo","Summoner","1#qstHellGateEarth","StatSet1","itemsetHGEndE","SummonerEarthFocus","qstHellGateSchoolEnd"
"Matolo","Summoner","2#qstHellGateAir","StatSet1","itemsetHGAir","SummonerHGAir","qstHellGateSchoolAir"
"Maud","BanditAF","1#","statset0","ItemSetNF","skillsetaffF","Uvanlig's Motley"
"Maurus","Centurion","3#School_Mutuus","StatSet5","ItemSetIF","SkillSetComb","School of Mutuus"
"Mavis","BerserkerF","2#berserker07","StatSet0","ItemSetNW","SkillSetAffW",""
"Mawia","BanditAF","4#","StatSet2","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Maya","CenturionF","2#School_BlackOrange1","StatSet5","ItemSetIA","SkillSetAffA","Altheas Vipers"
"Mayati","BeastDarkFireGreater","","StatSet0","ItemSetEA","skillsetgreaterfire","Story Characters"
"Meadhbh","Galdr","0#School_PurpleYellow1","StatSet0","ItemSetNU","SkillSetComb","Spellcasters"
"Meak","MongrelShaman","2#Nordagh_13","StatSet1","ItemSetNF","SkillSetAffF","WildernessNordaghMonster"
"Mectos","BanditA","2#","StatSet1","ItemSetIE","SkillSetAffE","WildernessImperiaOutlaw"
"Medon","UndeadCasterA","","StatSet3","ItemSetIU","SkillSetComb","ImperiaMonsterSchool"
"Meera","WolfGreater","3#","statset0","ItemsetNE","skillsetaffE","United Packs of Sloan Forest"
"Megamede","Murmillo","","StatSet0","ItemSetIE","SkillSetAffE","Krakens"
"Megara","Bear","2#","StatSet2","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Megeus","BanditA","2#","StatSet0","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Mehkari","SamniteSteF","2#Steppes_19","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Mehkr","UndeadCasterB","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Mehykhati","SamniteExpF","","StatSet0","ItemSetEF","SkillSetAffF","NoSchool"
"Meketre","UndeadMeleeExpB","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Mela","PeltastF","2#School_YellowBlue4","StatSet0","ItemSetIA","SkillSetComb","Borte Hulagu"
"Meleagros","Cyclops","0#School_BlueGreen5","StatSet0","ItemSetEW","SkillSetAffW","School of Osiris"
"Melia","BanditAF","1#","StatSet0","ItemSetIF","SkillSetAffF","WildernessImperiaOutlaw"
"Melicia","BanditAF","1#","StatSet0","ItemSetEE","SkillSetAffE","ImperiaOrusTribunal"
"Melisus","murmillo","3#Imperia_05","statset0","itemsetIW","skillsetcomb","ImperiaSchool"
"Melite","LegionnaireF","1#School_BlackBlack4","StatSet0","ItemSetIW","SkillSetAffW","Riot Gyhrls"
"Melscho","UndeadCasterB","","StatSet1","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Meneleu","Legionnaire","3#Imperia_05","StatSet0","ItemSetSA","SkillSetAffA","Warriors of Fortitude"
"Menes","Minotaur","2#Minotaur2","StatSet0","ItemSetNE","SkillSetComb","The Invaders"
"Meneus","DarkLegionnaire","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Mengu","UndeadMeleeSteA","","StatSet2","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Menkaure","UndeadCasterA","","StatSet0","ItemSetEE","skillsetqstPF","The Royal Casters"
"Menmet-Ra","Summoner","","StatSet0","ItemSetEE","SkillSetAffE","Story Characters"
"Menon","Darklegionnaire","0#Imperia_17","StatSet0","ItemSetID","SkillSetAffD",""
"Menoph","UndeadMeleeImpA","","StatSet0","ItemSetIF","SkillSetComb","WildernessImperiaUndead"
"Menpehtire","UndeadMeleeExpB","","StatSet0","ItemSetED","SkillSetAffD","The Immortals"
"Menwi","DervishF","4#Expanse_18","StatSet5","ItemSetEA","SkillSetComb","The Overclass of Akar An"
"Merenptah","UndeadMeleeExpA","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Meresch","MongrelShaman","1#","StatSet0","ItemSetNA","SkillSetAffA","WildernessNordaghMonster"
"Merkid","Archer","1#School_YellowGreen5","StatSet0","ItemSetEU","SkillSetComb","Rywigo Arrowheads"
"Merna","BarbarianF","3#Nordagh_07","StatSet0","ItemSetNF","SkillSetAffF",""
"Merteus","DarkLegionnaire","","StatSet3","ItemSetID","SkillSetComb","WildernessExpanseDark"
"Mertle","ChannelerImp","3#Imperia_13","StatSet4","ItemSetIA","SkillSetAffA","ImperiaPirgosChannelers"
"Meryibre","SamniteExp","0#School_BlackPurple4","StatSet0","ItemSetEE","SkillSetAffE","Quarry Warriors"
"Metaneira","Archer","1#Steppes_13","statset0","itemsetSE","skillsetcomb","NoSchool"
"Methra","CenturionF","","StatSet0","ItemSetSF","SkillSetAffF","warriors of Fortitude"
"Metri","Cyclops","0#School_YellowBlack4","StatSet0","ItemSetSF","SkillSetAffF","School of Suyhron"
"Meye","SecutorImpF","2#School_BlackYellow2","StatSet1","ItemSetIA","SkillSetAffA","Femina Formosos"
"Mhaida","ArcherF","1#Steppes_15","StatSet0","ItemSetSA","SkillSetAffA","Poachers"
"Mharam","Cat","4#","StatSet0","ItemSetEA","SkillSetAffA","School of Osiris"
"Michael","Gungnir","0#Nordagh_08","StatSet0","ItemSetNE","SkillSetComb","Black Band of Seven"
"Miglug","Ogre","4#Ogre_07","StatSet0","ItemSetSW","SkillSetAffW","Executioner"
"Mihra","Galdr","","StatSet0","ItemSetEU","SkillSetComb","Vhyn Vagrants"
"Mikkos","CitizenImp","3#Imperia_02","StatSet4","ItemSetIF","SkillSetComb","ImperiaTribunal"
"Milbrer","BanditBF","0#","StatSet0","ItemSetIW","SkillSetAffW","ImperiaOrusTribunal"
"Milburia","PeltastF","0#Imperia_20","StatSet0","ItemSetIA","SkillSetAffA","ImperiaPirgosGallus"
"Milo","Cyclops","","StatSet0","ItemSetEF","SkillSetAffF","Story Characters"
"Milpedie","UndeadMeleeNorA","","StatSet1","ItemSetNE","SkillSetAffE",""
"Minghan","Cat","4#","statset0","ItemSetSA","SkillSetAffA","Eyes of the Beast"
"Mira","Bear","4#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Miram","Cat","1#","StatSet0","ItemSetSU","SkillSetComb","WildernessSteppesPuma"
"Mizume","Minotaur","2#Minotaur1","StatSet0","ItemSetIU","SkillSetComb","The Loosers"
"Moibael","WolfGreater","0#","statset0","ItemsetNE","skillsetaffE","The Pack"
"Mokhtar","BanditB","3#","StatSet1","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Moloch","BearGreater","","StatSet0","ItemSetNE","SkillSetAffE",""
"Moncha","GungnirF","4#Nordagh_05","Statset0","ItemsetNF","skillsetaffF","High Krigare School"
"Monghr","BanditA","0#School_RedPurple4","StatSet0","ItemSetSA","SkillSetAffA","School of Xandus"
"Mongke","CatGreater","0#","statset0","ItemSetSA","SkillSetAffA","Eyes of the Beast"
"Mongo","BanditA","4#","StatSet0","ItemSetIE","SkillSetComb","The Plainsdwellers"
"Monkeys","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Monroe","Satyr","1#Satyr1","StatSet0","ItemSetNE","SkillSetAffE",""
"Mord","BearGreater","","StatSet0","ItemSetNE","SkillSetComb",""
"Morrgros","samniteSte","4#School_YellowBlack2","statset0","ItemSetSE","skillsetcomb","School of Suyhron"
"Morven","BanditBF","1#","Statset0","ItemSetNA","skillsetaffA","Scum of the Earth"
"Mosegi","BanditA","4#","StatSet1","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Mounga","Summoner","3#qstHellGateWater","StatSet1","itemsetHGWater","summonerHGWater","qstHellGateSchoolWater"
"MrJinks","Mongrel","1#Nordagh_06","statset0","itemsetIW","skillsetcomb","NoSchool"
"Muduk
Muduk","MongrelShaman","2#Nordagh_03","statset0","ItemsetNA","skillsetaffA","The Sylvan Ones"
"Muhnge","SamniteSteF","","StatSet0","ItemSetSE","SkillSetAffE","Poachers"
"Muhuli","Wolf","1#","statset0","ItemSetSE","SkillSetAffE","Eyes of the Beast"
"Muirne","BarbarianF","","StatSet0","ItemSetNE","SkillSetAffE","Krakens"
"Mukuli","Ogre","2#School_RedBlue4","statset0","itemsetIW","skillsetcomb","Qo'ai-Marael"
"Munglik","Cyclops","4#","StatSet1","ItemSetSU","SkillSetComb","NoSchool"
"Mungo","Barbarian","3#Nordagh_19","StatsetW","ItemSetNA","SkillSetTrain","Fliuch Home Guard"
"Munlik","Bear","1#","statset0","itemsetNE","skillsetcomb","Borte Hulagu"
"Murbh","SamniteSte","0#School_RedPurple5","StatSet0","ItemSetSF","SkillSetAffF","School of Xandus"
"Mutuus","MutuusDark","","StatSet0","ItemSetID","SkillSetComb","Story Characters"
"Muunokhoi","Ogre","1#","StatSet0","ItemSetEE","SkillSetAffE","Krakens"
"Myndrac","Murmillo","0#School_YellowBlue4","StatSet0","ItemSetIA","SkillSetAffA","Borte Hulagu"
"Mynel","UndeadMeleeImpA","","StatSet0","ItemSetIU","SkillSetComb","WildernessImperiaUndead"
"Myrscila","SecutorImpF","2#","StatSet0","ItemSetIU","SkillSetComb","ImperiaSyrnaLocalRecruits"
"Myseef","ChannelerImp","3#","StatSet5","ItemSetIF","SkillSetAffF","ImperiaChampionship"
"Nabirye","ChannelerImp","","StatSet0","ItemSetEF","SkillSetAffF","lioness"
"Nacippe","Murmillo","2#School_RedPurple4","statset0","ItemSetIF","skillsetcomb","School of Xandus"
"Naeem","Summoner","4#Expanse_01","StatSet0","ItemSetEE","SummonerqstPFE","The Royal Casters"
"Nahwan","UndeadCasterA","","StatSet0","ItemSetSD","SkillSetAffD","School of Past Glory"
"Naiman","BanditB","1#","StatSet2","ItemSetSF","SkillSetComb","WildernessSteppesOutlaw"
"Nakht","BanditAF","4#","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseOutlaw"
"Nakissa","DervishF","2#","StatSet5","ItemSetIU","SkillSetComb","Whirlwind"
"Namangan","Cat","4#","StatSet2","ItemSetSA","SkillSetAffA","WildernessSteppesTiger"
"Naphu","Wolf","","StatSet0","ItemSetSE","SkillSetAffE","NoSchool"
"Napise","Cat","2#","StatSet0","ItemSetEA","SkillSetAffA","Spellcasters"
"Narfu","Ogre","3#Ogre_06","StatSet0","ItemSetSF","SkillSetAffF","School of Past Glory"
"Nari","Cat","","StatSet0","ItemSetEA","SkillSetAffA","NoSchool"
"Narvla","BerserkerF","3#berserker13","StatSet0","ItemSetSA","SkillSetAffA","Baneful Berserkers"
"Nasan","Archer","4#School_RedPurple4","statset0","ItemSetSF","SkillSetAffF","School of Xandus"
"Naseryt","Satyr","2#Satyr1","StatSet0","ItemSetIF","SkillSetAffF","ImperiaMonsterSchool"
"Nashilot","Murmillo","","StatSet0","ItemSetIA","SkillSetAffA","Rhun Rhyot"
"Nasira","BanditBF","3#","StatSet0","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Natas","Wolf","2#","statset0","ItemsetNE","skillsetcomb","Vargen Irregulars"
"Natashah","SamniteImpF","3#School_TurqRed3","StatSet0","ItemSetIF","SkillSetAffF","ImperiaTrikataPergaGiants"
"Nathifa","DervishF","4#Expanse_03","StatSet0","ItemSetEA","SkillSetAffA","Sandskimmers"
"Navoi","Cat","","StatSet0","ItemSetSA","SkillSetAffA","Lioness"
"Nayan","Amazon","1#Steppes_11","StatSet0","ItemSetSF","SkillSetAffF","NoSchool"
